100000001	National Science Foundation	N
100000001	NSF	Y
100000002	NIH	Y
100000002	National Institutes of Health	N
100000003	Boeing	N
100000005	U.S. Department of Defense	N
100000005	DOD	Y
100000006	ONR	Y
100000006	Office of Naval Research	N
100000008	David and Lucile Packard Foundation	N
100000008	DLPF	Y
100000009	Foundation for the National Institutes of Health	N
100000009	FNIH	Y
100000010	Ford Foundation	N
100000011	Howard Hughes Medical Institute	N
100000011	HHMI	Y
100000014	SI	Y
100000014	Smithsonian Institution	N
100000015	DOE	Y
100000015	U.S. Department of Energy	N
100000016	U.S. Department of Health and Human Services	N
100000016	HHS	Y
100000019	National Hemophilia Foundation	N
100000019	NHF	Y
100000025	National Institute of Mental Health	N
100000025	NIHM	Y
100000026	National Institute on Drug Abuse	N
100000026	NIDA	Y
100000027	NIAA	Y
100000027	National Institute on Alcohol Abuse and Alcoholism	N
100000028	Semiconductor Research Corporation	N
100000028	SRC	Y
100000030	Centers for Disease Control and Prevention	N
100000030	CDC	Y
100000038	U.S. Food and Drug Administration	N
100000038	FDA	Y
100000040	American Parkinson's Disease Foundation	N
100000040	APDA	Y
100000041	ADA	Y
100000041	American Diabetes Association	N
100000042	Amgen Foundation	N
100000043	AACR	Y
100000043	American Association for Cancer Research	N
100000045	Aetna Foundation	N
100000046	Abbott Fund	N
100000047	Annenberg Foundation	N
100000048	ACS	Y
100000048	American Cancer Society	N
100000049	NIA	Y
100000049	National Institute on Aging	N
100000050	National Heart, Lung, and Blood Institute	N
100000050	NHBLI	Y
100000051	National Human Genome Research Institute	N
100000051	NHGRI	Y
100000052	NIH Office of the Director	N
100000052	OD	Y
100000053	NEI	Y
100000053	National Eye Institute	N
100000054	National Cancer Institute	N
100000054	NCI	Y
100000055	National Institute on Deafness and Other Communication Disorders	N
100000055	NIDCD	Y
100000056	NINR	Y
100000056	National Institute of Nursing Research	N
100000057	NIGMS	Y
100000057	National Institute of General Medical Sciences	N
100000058	Substance Abuse and Mental Health Services Administration	N
100000058	SAMHSA	Y
100000060	NIAID	Y
100000060	National Institute of Allergy and Infectious Diseases	N
100000061	FIC	Y
100000061	Fogarty International Center	N
100000062	National Institute of Diabetes and Digestive and Kidney Diseases	N
100000062	NIDDK	Y
100000063	ODS	Y
100000063	Office of Dietary Supplements	N
100000064	National Center for Complementary and Alternative Medicine	N
100000064	NCCAM	Y
100000065	NINDS	Y
100000065	National Institute of Neurological Disorders and Stroke	N
100000066	NIEHS	Y
100000066	National Institute of Environmental Health Sciences	N
100000069	National Institute of Arthritis and Musculoskeletal and Skin Diseases	N
100000069	NIAMS	Y
100000070	National Institute of Biomedical Imaging and Bioengineering	N
100000070	NIBIB	Y
100000071	NICHD	Y
100000071	National Institute of Child Health and Human Development	N
100000072	National Institute of Dental and Craniofacial Research	N
100000072	NIDCR	Y
100000073	Autism Speaks	N
100000074	DOJ	Y
100000074	U.S. Department of Justice	N
100000076	Directorate for Biological Sciences	N
100000076	BIO	Y
100000077	SES	Y
100000077	Division of Social and Economic Sciences	N
100000078	DMR	Y
100000078	Division of Materials Research	N
100000080	APSF	Y
100000080	Anesthesia Patient Safety Foundation	N
100000081	EHR	Y
100000081	Directorate for Education and Human Resources	N
100000082	DGE	Y
100000082	Division of Graduate Education	N
100000083	CISE	Y
100000083	Directorate for Computer and Information Science and Engineering	N
100000084	ENG	Y
100000084	Directorate for Engineering	N
100000085	Directorate for Geosciences	N
100000085	GEO	Y
100000086	MPS	Y
100000086	Directorate for Mathematical and Physical Sciences	N
100000087	Office of Polar Programs	N
100000087	OPP	Y
100000088	SBE	Y
100000088	Directorate for Social, Behavioral and Economic Sciences	N
100000089	OISE	Y
100000089	Office of International Science and Engineering	N
100000090	Congressionally Directed Medical Research Programs	N
100000090	CDMRP	Y
100000092	U.S. National Library of Medicine	N
100000092	NLM	Y
100000093	CIT	Y
100000093	Center for Information Technology	N
100000096	National Center on Minority Health and Health Disparities	N
100000096	NCMHD	Y
100000097	NCRR	Y
100000097	National Center for Research Resources	N
100000098	NIH CC	Y
100000098	NIH Clinical Center	N
100000102	Health Resources and Services Administration	N
100000102	HRSA	Y
100000103	NEH	Y
100000103	National Endowment for the Humanities	N
100000104	NASA	Y
100000104	National Aeronautics and Space Administration	N
100000105	OCI	Y
100000105	Office of Cyberinfrastructure	N
100000106	Office of Integrative Activities	N
100000106	OIA	Y
100000107	SLC	Y
100000107	Science of Learning Centers	N
100000108	National Science Digital Library	N
100000108	NSDL	Y
100000110	INI	Y
100000110	Nanotechnology Initiative	N
100000118	OBSSR	Y
100000118	Office of Behavioral and Social Sciences Research	N
100000121	DMS	Y
100000121	Division of Mathematical Sciences	N
100000124	Office of Research on Women's Health	N
100000124	ORWH	Y
100000125	National Institute for Occupational Safety and Health	N
100000125	NIOSH	Y
100000126	National Telecommunications and Information Administration	N
100000126	NTIA	Y
100000130	NCCDPHP	Y
100000130	National Center for Chronic Disease Prevention and Health Promotion	N
100000132	Transportation Research Board	N
100000132	TRB	Y
100000133	Agency for Healthcare Research and Quality	N
100000133	AHRQ	Y
100000135	NIH Blueprint for Neuroscience Research	N
100000138	DoED	Y
100000138	U.S. Department of Education	N
100000139	U.S. Environmental Protection Agency	N
100000139	EPA	Y
100000140	DOT	Y
100000140	U.S. Department of Transportation	N
100000141	Division of Ocean Sciences	N
100000141	OCE	Y
100000142	Avon Foundation for Women	N
100000143	Division of Computing and Communication Foundations	N
100000143	CCF	Y
100000144	CNS	Y
100000144	Division of Computer and Network Systems	N
100000145	IIS	Y
100000145	Division of Information and Intelligent Systems	N
100000146	CBET	Y
100000146	Division of Chemical, Bioengineering, Environmental, and Transport Systems	N
100000147	CMMI	Y
100000147	Division of Civil, Mechanical and Manufacturing Innovation	N
100000148	ECCS	Y
100000148	Division of Electrical, Communications and Cyber Systems	N
100000149	EEC	Y
100000149	Division of Engineering Education and Centers	N
100000150	Division of Emerging Frontiers in Research and Innovation	N
100000150	EFRI	Y
100000151	IIP	Y
100000151	Division of Industrial Innovation and Partnerships	N
100000152	Division of Molecular and Cellular Biosciences	N
100000152	MCB	Y
100000153	DBI	Y
100000153	Division of Biological Infrastructure	N
100000154	IOS	Y
100000154	Division of Integrative Organismal Systems	N
100000155	DEB	Y
100000155	Division of Environmental Biology	N
100000156	EF	Y
100000156	Division of Emerging Frontiers	N
100000159	Division of Atmospheric and Geospace Sciences	N
100000159	AGS	Y
100000160	Division of Earth Sciences	N
100000160	EAR	Y
100000161	National Institute of Standards and Technology	N
100000161	NIST	Y
100000162	Division of Antarctic Sciences	N
100000162	ANT	Y
100000163	ARC	Y
100000163	Division of Arctic Sciences	N
100000164	AST	Y
100000164	Division of Astronomical Sciences	N
100000165	Division of Chemistry	N
100000165	CHE	Y
100000166	Division of Physics	N
100000166	PHY	Y
100000169	Division of Behavioral and Cognitive Sciences	N
100000169	BCS	Y
100000170	National Center for Science and Engineering Statistics	N
100000170	NCSES	Y
100000171	Division of Human Resource Development	N
100000171	HRD	Y
100000172	DUE	Y
100000172	Division of Undergraduate Education	N
100000173	Division of Research on Learning in Formal and Informal Settings	N
100000173	DRL	Y
100000174	Division of Antarctic Infrastructure and Logistics	N
100000174	AIL	Y
100000175	PEHS	Y
100000175	Office of Polar Environment, Health and Safety	N
100000176	OGC	Y
100000176	Office of the General Counsel	N
100000177	Office of Legislative and Public Affairs	N
100000177	OLPA	Y
100000178	ODI	Y
100000178	Office of Diversity and Inclusion	N
100000179	NSF Office of the Director	N
100000179	OD	Y
100000180	DHS	Y
100000180	U.S. Department of Homeland Security	N
100000181	Air Force Office of Scientific Research	N
100000181	AFOSR	Y
100000182	USAMRMC	Y
100000182	U.S. Army Medical Research and Materiel Command	N
100000183	Army Research Office	N
100000183	ARO	Y
100000185	Defense Advanced Research Projects Agency	N
100000185	DARPA	Y
100000190	DOC	Y
100000190	U.S. Department of Commerce	N
100000192	NOAA	Y
100000192	National Oceanic and Atmospheric Administration	N
100000193	National Endowment for the Arts	N
100000193	NEA	Y
100000194	U.S. Department of State	N
100000194	STATE	Y
100000199	U.S. Department of Agriculture	N
100000199	USDA	Y
100000200	United States Agency for International Development	N
100000200	USAID	Y
100000201	U.S. Department of the Interior	N
100000201	DOI	Y
100000202	FWS	Y
100000202	U.S. Fish and Wildlife Service	N
100000203	U.S. Geological Survey	N
100000203	USGS	Y
100000204	U.S. Department of Housing and Urban Development	N
100000204	HUD	Y
100000205	Technology Opportunities Program	N
100000205	TOP	Y
100000207	U.S. Small Business Administration	N
100000207	SBA	Y
100000208	Institute of Museum and Library Services	N
100000208	IMLS	Y
100000209	National Academy of Sciences	N
100000209	NAS	Y
100000266	National Geospatial-Intelligence Agency	N
100000266	NGA	Y
100000297	FRAXA Research Foundation	N
100000307	American Library Association	N
100000307	ALA	Y
100000308	Carnegie Corporation of New York	N
100000345	McCormick Foundation	N
100000738	VA	Y
100000738	U.S. Department of Veterans Affairs	N
100000741	National Archives and Records Administration	N
100000741	NARA	Y
100000774	Defense Threat Reduction Agency	N
100000774	DTRA	Y
100000778	DOL	Y
100000778	U.S. Department of Labor	N
100000810	Woodrow Wilson International Center for Scholars	N
100000834	Bernard Osher Foundation	N
100000848	United Negro College Fund Special Programs Corporation	N
100000848	UNCFSP	Y
100000850	American Society for Engineering Education	N
100000850	ASEE	Y
100000861	BWF	Y
100000861	Burroughs Wellcome Fund	N
100000862	Doris Duke Charitable Foundation	N
100000862	DDCF	Y
100000863	EMF	Y
100000863	Ellison Medical Foundation	N
100000864	MJFF	Y
100000864	Michael J. Fox Foundation for Parkinson's Research	N
100000865	Bill & Melinda Gates Foundation	N
100000866	IAVI	Y
100000866	International AIDS Vaccine Initiative	N
100000867	Robert Wood Johnson Foundation	N
100000867	RWJF	Y
100000868	Ewing Marion Kauffman Foundation	N
100000869	Susan G. Komen for the Cure	N
100000870	John D. and Catherine T. MacArthur Foundation	N
100000871	Mayo Clinic	N
100000872	McKnight Endowment Fund for Neuroscience	N
100000873	Andrew W. Mellon Foundation	N
100000874	Brain and Behavior Research Foundation	N
100000875	Pew Charitable Trusts	N
100000875	PEW	Y
100000877	Rockefeller Foundation	N
100000878	S.L.E. Lupus Foundation	N
100000879	Alfred P. Sloan Foundation	N
100000880	Michael and Susan Dell Foundation	N
100000880	MSDF	Y
100000882	BRF	Y
100000882	Brain Research Foundation	N
100000883	Brown Foundation	N
100000884	CRI	Y
100000884	Cancer Research Institute	N
100000885	Children's Cancer Research Fund	N
100000886	Duke Endowment	N
100000887	HDSA	Y
100000887	Huntington's Disease Society of America	N
100000888	W.M. Keck Foundation	N
100000889	MSF	Y
100000889	Multiple Sclerosis Foundation	N
100000890	NMSS	Y
100000890	National Multiple Sclerosis Society	N
100000892	PCF	Y
100000892	Prostate Cancer Foundation	N
100000893	SF	Y
100000893	Simons Foundation	N
100000894	SMA Foundation	Y
100000894	Spinal Muscular Atrophy Foundation	N
100000895	St. Jude Medical Foundation	N
100000895	SJM	Y
100000896	Coleman Foundation	N
100000897	Cystic Fibrosis Foundation	N
100000897	CFF	Y
100000898	Broad Foundation	N
100000899	Intel Foundation	N
100000900	CIRM	Y
100000900	California Institute for Regenerative Medicine	N
100000901	JDRF	Y
100000901	Juvenile Diabetes Research Foundation International	N
100000902	PCRF	Y
100000902	Pediatric Cancer Research Foundation	N
100000903	Aspen Institute	N
100000904	Lynde and Harry Bradley Foundation	N
100000905	The Commonwealth Fund	N
100000908	Getty Foundation	N
100000909	John A. Hartford Foundation	N
100000910	Conrad N. Hilton Foundation	N
100000910	CNHF	Y
100000911	Joyce Foundation	N
100000912	March of Dimes Foundation	N
100000913	James S. McDonnell Foundation	N
100000913	JSMF	Y
100000914	Meadows Foundation, Inc.	N
100000915	Richard King Mellon Foundation	N
100000916	MetLife Foundation	N
100000917	Moody's Foundation	N
100000918	NYCT	Y
100000918	New York Community Trust	N
100000919	Open Society Foundations	N
100000919	OSF	Y
100000920	William Penn Foundation	N
100000921	DONALD W. REYNOLDS FOUNDATION	N
100000923	Silicon Valley Community Foundation	N
100000925	John Templeton Foundation	N
100000928	Welch Foundation	N
100000931	Annie E. Casey Foundation	N
100000932	Marguerite Casey Foundation	N
100000933	Hearst Foundations	N
100000934	Heinz Endowments	N
100000935	Russell Sage Foundation	N
100000936	Gordon and Betty Moore Foundation	N
100000937	MJ Murdock Charitable Trust	N
100000938	Robert E. Leet and Clara Guthrie Patterson Trust	N
100000939	Abell-Hanger Foundation	N
100000940	Aflac	N
100000941	Agilent Foundation	N
100000942	Alcoa Foundation	N
100000943	Albert and Margaret Alkek Foundation	N
100000944	Samuel Roberts Noble Foundation	N
100000945	Pittsburgh Foundation	N
100000948	Akron Community Foundation	N
100000949	Akron General Development Foundation	N
100000950	Alcon Foundation	N
100000952	Paul G. Allen Family Foundation	N
100000953	Alliance for Cancer Gene Therapy	N
100000953	ACGT	Y
100000954	Alliant Energy Foundation	N
100000957	Alzheimer's Association	N
100000958	American Association for the Advancement of Science	N
100000958	AAAS	Y
100000959	American Association of Orthopaedic Surgeons	N
100000959	AAOS	Y
100000960	American College of Rheumatology Research and Education Foundation	N
100000960	REF	Y
100000961	American Committee for the Weizmann Institute of Science	N
100000961	ACWIS	Y
100000962	ACLS	Y
100000962	American Council of Learned Societies	N
100000963	The American Diabetes Association Research Foundation	N
100000964	Arthritis National Research Foundation	N
100000964	ANRF	Y
100000965	American Federation for Aging Research	N
100000965	AFAR	Y
100000967	American Health Assistance Foundation	N
100000967	AHAF	Y
100000968	American Heart Association	N
100000968	AHA	Y
100000969	American Institute for Cancer Research	N
100000969	AICR	Y
100000971	Amyotrophic Lateral Sclerosis Association	N
100000971	ALS	Y
100000976	Argosy Foundation	N
100000977	ACF	Y
100000977	Arizona Community Foundation	N
100000978	ARCF	Y
100000978	Arkansas Community Foundation	N
100000979	Lance Armstrong Foundation	N
100000979	LAF	Y
100000980	Arthritis Foundation	N
100000980	AF	Y
100000981	Arthur Foundation	N
100000982	Conquer Cancer Foundation	N
100000983	Mary Kay Foundation	N
100000983	TMKF	Y
100000985	Assissi Foundation of Memphis	N
100000986	Atherton Family Foundation	N
100000987	ACF	Y
100000987	Austin Community Foundation	N
100000988	Helen Bader Foundation	N
100000989	Ball Brothers Foundation	N
100000990	Baptist Community Ministries	N
100000990	BCM	Y
100000991	Barry Community Foundation	N
100000991	BCF	Y
100000993	Battelle	N
100000994	Battle Creek Community Foundation	N
100000994	BCCF	Y
100000996	S. D. Bechtel, Jr. Foundation and Stephen Bechtel Fund	N
100000997	Arnold and Mabel Beckman Foundation	N
100000999	Berkshire Taconic Community Foundation	N
100001000	Mary E. Bivins Foundation	N
100001002	Blue Shield of California Foundation	N
100001003	Boehringer Ingelheim	N
100001004	Bohemian Foundation	N
100001005	Bonfils-Stanton Foundation	N
100001006	BCRF	Y
100001006	Breast Cancer Research Foundation	N
100001008	Brinson Foundation	N
100001009	Bristol-Myers Squibb Foundation	N
100001010	James Graham Brown Foundation	N
100001011	Joe W. and Dorothy Dorsett Brown Foundation	N
100001012	The Buhl Foundation	N
100001013	Buoniconti Fund to Cure Paralysis	N
100001018	California HealthCare Foundation	N
100001018	CHCF	Y
100001019	California Wellness Foundation	N
100001019	TCWF	Y
100001020	Cancer and Leukemia Group B Foundation	N
100001020	CALGB	Y
100001021	Damon Runyon Cancer Research Foundation	N
100001023	Amon G. Carter Foundation	N
100001024	Roy J. Carver Charitable Trust	N
100001026	Central New York Community Foundation, Inc.	N
100001027	CH Foundation	N
100001028	Chambers Family Fund	N
100001032	Chicago Community Trust	N
100001032	CCT	Y
100001033	Jane Coffin Childs Memorial Fund for Medical Research	N
100001034	CHOC Foundation	N
100001035	TCF	Y
100001035	Christensen Fund	N
100001036	Claneil Foundation	N
100001037	Robert Sterling Clark Foundation	N
100001039	The Cleveland Foundation	N
100001043	Collins Foundation	N
100001044	The Colorado Health Foundation	N
100001047	Communities Foundation of Texas, Inc.	N
100001048	CFGB	Y
100001048	Community Foundation for Greater Buffalo	N
100001050	Community Foundation of Broward	N
100001051	Community Foundation of Greater Memphis	N
100001052	Community Foundation of Jackson Hole	N
100001053	Community Foundation of Louisville	N
100001054	Community Foundation of the Ozarks	N
100001054	CFO	Y
100001056	CHC	Y
100001056	Community Health Charities of Maryland, Inc.	N
100001057	Compton Foundation	N
100001058	ConAgra Foods Foundation	N
100001059	Connecticut Bar Foundation	N
100001059	CBF	Y
100001060	CT Health	Y
100001060	Connecticut Health Foundation	N
100001061	Cord Foundation	N
100001062	Wallace H. Coulter Foundation	N
100001062	WHCF	Y
100001063	Crohn's and Colitis Foundation of America	N
100001063	CCFA	Y
100001064	Cullen Foundation	N
100001065	The Nathan Cummings Foundation	N
100001066	Dade Community Foundation	N
100001068	Dana Foundation	N
100001069	Dart Foundation	N
100001071	Paul and Carol David Foundation	N
100001073	Arthur Vining Davis Foundations	N
100001075	Deloitte Foundation	N
100001077	Community Foundation Greater Des Moines	N
100001078	DIABETES RESEARCH INSTITUTE FOUNDATION	N
100001078	DRI	Y
100001079	Geraldine R. Dodge Foundation	N
100001080	Patrick and Catherine Weldon Donaghue Medical Research Foundation	N
100001081	Herbert H. and Grace A. Dow Foundation	N
100001082	Camille and Henry Dreyfus Foundation	N
100001083	DSF Charitable Foundation	N
100001084	The Duchossois Group	N
100001084	TDG	Y
100001085	Duke Energy	N
100001087	Jessie Ball duPont Fund	N
100001089	Earthwatch Institute	N
100001090	EAST WEST MANAGEMENT INSTITUTE	N
100001091	George S. and Dolores Dore Eccles Foundation	N
100001092	Eckerd Family Foundation	N
100001093	EDEN HALL FOUNDATION	N
100001094	Fred L. Emerson Foundation	N
100001095	USIP	Y
100001095	United States Institute of Peace	N
100001097	Our Enterprise Rent-A-Car Foundation	N
100001098	ECF	Y
100001098	The Erie Community Foundation	N
100001099	Ernst & Young Foundation	N
100001100	BEF	Y
100001100	BOOMER ESIASON FOUNDATION	N
100001102	Ethics and Excellence in Journalism Foundation	N
100001102	EEJF	Y
100001103	Richard M. Fairbanks Foundation, Inc.	N
100001104	FSMA	Y
100001104	Families of Spinal Muscular Atrophy	N
100001107	John E. Fetzer Memorial Trust	N
100001109	Flinn Foundation	N
100001110	Flora Family Foundation	N
100001110	FFF	Y
100001111	Foellinger Foundation	N
100001114	Ford Motor Company Fund and Community Services	N
100001115	Foster Foundation	N
100001117	amfAR	Y
100001117	amfAR	N
100001119	Freddie Mac Foundation	N
100001120	Frey Foundation	N
100001121	GEORGE F. and SYBIL H. FULLER FOUNDATION	N
100001122	Fund For New Jersey	N
100001123	Garfield Foundation	N
100001125	GAVI Alliance	N
100001126	Geisinger Health System Foundation	N
100001127	Genentech Foundation	N
100001128	General Motors Foundation	N
100001128	GMF	Y
100001129	GCC	Y
100001129	Georgia Cancer Coalition	N
100001130	Gerber Foundation	N
100001133	The Gheens Foundation, Inc.	N
100001134	Howard Gilman Foundation	N
100001136	Glenn Family Foundation	N
100001137	The Global Fund for Women	N
100001141	The Grable Foundation	N
100001142	The Granger Foundation	N
100001143	William T. Grant Foundation	N
100001144	The William Caspar Graustein Memorial Fund	N
100001144	WCGMF	Y
100001145	GLFT	Y
100001145	Great Lakes Fishery Trust	N
100001146	GF	Y
100001146	Greenwall Foundation	N
100001149	George Gund Foundation	N
100001150	Walter & Elise Haas Fund	N
100001153	George and Mary Josephine Hamman Foundation	N
100001155	Harrison County Community Foundation, Inc.	N
100001156	Hartford Foundation for Public Giving	N
100001156	HFPG	Y
100001157	Harvard NeuroDiscovery Center	N
100001158	Harvard-Yenching Institute	N
100001158	HYI	Y
100001159	Hawaii Community Foundation	N
100001159	HCF	Y
100001160	HEI	Y
100001160	Health Effects Institute	N
100001162	HFNJ	Y
100001162	Healthcare Foundation of New Jersey	N
100001163	Healthcare Georgia Foundation	N
100001164	Heckscher Foundation for Children	N
100001166	Richard and Ethel Herzfeld Foundation	N
100001167	Larry L. Hillblom Foundation	N
100001167	LLHF	Y
100001168	Hille Foundation	N
100001169	HIP	Y
100001169	Hispanics in Philanthropy	N
100001170	Hitchcock Foundation	N
100001172	Hormel Foundation	N
100001173	GHCF	Y
100001173	Greater Houston Community Foundation	N
100001174	Houston Endowment	N
100001178	The Hyde and Watson Foundation	N
100001179	Iacocca Family Foundation	N
100001180	Illinois Children's Healthcare Foundation	N
100001181	Inova Health System Foundation	N
100001182	Institute for Aegean Prehistory	N
100001182	INSTAP	Y
100001184	International Fund for Animal Welfare	N
100001184	IFAW	Y
100001187	JEHT Foundation	N
100001188	Jerome Foundation	N
100001189	Jewish Community Foundation of Greater Kansas City	N
100001190	United Jewish Communities of MetroWest NJ	N
100001192	JFF	Y
100001192	Johnson Family Foundation	N
100001197	Kalliopeia Foundation	N
100001198	The Greater Kanawha Valley Foundation	N
100001198	GKVF	Y
100001199	Greater Kansas City Community Foundation	N
100001199	GKCCF	Y
100001200	J.M. Kaplan Fund	N
100001201	The Kavli Foundation	N
100001203	Kessler Foundation	N
100001204	Kettering Fund	N
100001205	F.M. KIRBY FOUNDATION	N
100001209	KTEF	Y
100001209	KNIGHTS TEMPLAR EYE FOUNDATION	N
100001210	CGK	Y
100001210	Charles G. Koch Charitable Foundation	N
100001212	Koret Foundation	N
100001214	National Multiple Sclerosis Society Lone Star	N
100001215	Los Angeles Orthopaedic Hospital Foundation	N
100001217	Lumina Foundation	N
100001218	Lupus Research Institute	N
100001218	LRI	Y
100001219	Lymphoma Research Foundation	N
100001219	LRF	Y
100001220	The Lynch Foundation	N
100001221	J.F Maddox Foundation	N
100001222	Maine Health Access Foundation	N
100001222	MeHAF	Y
100001224	Malone Family Foundation	N
100001225	MARATHON	N
100001225	M	Y
100001226	MARIN COMMUNITY FOUNDATION	N
100001226	MCF	Y
100001227	T.J. Martell Foundation	N
100001228	WACHOVIA	N
100001229	G Harold & Leila Y. Mathers Foundation	N
100001233	William G. McGowan Charitable Fund	N
100001234	Robert and Janice McNair Foundation	N
100001235	The Medical Foundation of North Carolina, Inc.	N
100001236	The Medical Foundation	N
100001236	TMF	Y
100001237	Merville Charitable Trust	N
100001238	The Merck Company Foundation	N
100001239	MISE	Y
100001239	Merck Institute for Science Education	N
100001240	MHF	Y
100001240	Methodist Health Foundation	N
100001241	MetroWest Community Health Care Foundation	N
100001241	MCHCF	Y
100001243	Micron Foundation	N
100001244	Milken Family Foundation	N
100001244	MFF	Y
100001245	Jeffrey Modell Foundation	N
100001245	JMF	Y
100001246	Ambrose Monell Foundation	N
100001247	Monsanto Fund	N
100001248	Moody Foundation	N
100001249	Morgan Family Foundation	N
100001250	Morris Animal Foundation	N
100001250	MAF	Y
100001252	MZHF	Y
100001252	Mount Zion Health Fund	N
100001253	MMRF	Y
100001253	Multiple Myeloma Research Foundation	N
100001254	John P. Murphy Foundation	N
100001255	National Cancer Coalition	N
100001255	NCC	Y
100001256	National Childhood Cancer Foundation	N
100001256	NCCF	Y
100001257	National Geographic Society Education Foundation	N
